,easting,northing,elevation_od,chainage,fc,profile,reg_id,survey_unit,date,year,month
446,307599.841,81957.844,3.078,204.699,G,6a01615,6a01615,6aSU12,2018-10-25,2018,10
1227,307599.8,81957.754,3.118,204.794,G,6a01615,6a01615,6aSU12,2021-06-24,2021,6
1645,307599.881,81957.651,3.144,204.883,G,6a01615,6a01615,6aSU12,2023-05-07,2023,5
394,307599.772,81957.465,3.22,205.084,G,6a01615,6a01615,6aSU12,2018-02-01,2018,2
1545,307599.751,81957.423,3.229,205.129,G,6a01615,6a01615,6aSU12,2023-02-24,2023,2
1055,307648.295,81951.608,2.545,205.52,G,6a01614,6a01614,6aSU12,2022-04-20,2022,4
127,307599.723,81957.002,3.415,205.549,G,6a01615,6a01615,6aSU12,2017-05-10,2017,5
930,307648.227,81951.557,2.674,205.582,G,6a01614,6a01614,6aSU12,2021-06-24,2021,6
819,307599.687,81956.955,3.497,205.601,G,6a01615,6a01615,6aSU12,2021-03-01,2021,3
506,307599.6,81956.725,3.511,205.842,G,6a01615,6a01615,6aSU12,2020-02-11,2020,2
680,307599.6,81956.725,3.511,205.842,G,6a01615,6a01615,6aSU12,2020-02-11,2020,2
1270,307599.68,81956.656,3.569,205.897,G,6a01615,6a01615,6aSU12,2021-10-06,2021,10
56,307689.373,81946.112,1.452,205.997,G,6a01613,6a01613,6aSU12,2017-05-10,2017,5
1859,307689.319,81945.916,0.042,206.199,G,6a01613,6a01613,6aSU12,2021-06-24,2021,6
1417,307599.612,81956.298,3.703,206.262,G,6a01615,6a01615,6aSU12,2022-04-20,2022,4
15,307599.625,81956.276,3.608,206.281,G,6a01615,6a01615,6aSU12,2016-09-16,2016,9
369,307599.598,81956.252,3.659,206.309,G,6a01615,6a01615,6aSU12,2017-10-20,2017,10
750,307599.59,81956.243,3.675,206.319,G,6a01615,6a01615,6aSU12,2020-10-18,2020,10
274,307551.318,81962.672,4.991,206.33,G,6a01616,6a01616,6aSU12,2017-05-10,2017,5
210,307648.098,81950.771,3.342,206.379,G,6a01614,6a01614,6aSU12,2017-05-10,2017,5
1751,307648.142,81950.755,2.753,206.387,G,6a01614,6a01614,6aSU12,2023-05-07,2023,5
1354,307689.238,81945.707,0.513,206.419,G,6a01613,6a01613,6aSU12,2022-04-20,2022,4
1493,307599.591,81956.134,3.727,206.427,G,6a01615,6a01615,6aSU12,2022-11-23,2022,11
1017,307551.281,81962.559,5.007,206.447,G,6a01616,6a01616,6aSU12,2021-06-24,2021,6
447,307599.528,81956.073,3.732,206.497,G,6a01615,6a01615,6aSU12,2018-10-25,2018,10
1056,307648.031,81950.592,3.043,206.567,G,6a01614,6a01614,6aSU12,2022-04-20,2022,4
1752,307648.102,81950.555,2.973,206.591,G,6a01614,6a01614,6aSU12,2023-05-07,2023,5
931,307648.069,81950.486,3.044,206.664,G,6a01614,6a01614,6aSU12,2021-06-24,2021,6
932,307648.026,81950.453,3.613,206.704,FB,6a01614,6a01614,6aSU12,2021-06-24,2021,6
1753,307648.042,81950.415,3.63,206.739,G,6a01614,6a01614,6aSU12,2023-05-07,2023,5
1057,307648.023,81950.41,3.61,206.747,G,6a01614,6a01614,6aSU12,2022-04-20,2022,4
933,307648.022,81950.409,3.61,206.748,FB,6a01614,6a01614,6aSU12,2021-06-24,2021,6
934,307648.003,81950.369,3.599,206.791,G,6a01614,6a01614,6aSU12,2021-06-24,2021,6
1228,307599.504,81955.711,3.911,206.858,G,6a01615,6a01615,6aSU12,2021-06-24,2021,6
211,307647.994,81950.191,3.694,206.968,G,6a01614,6a01614,6aSU12,2017-05-10,2017,5
1805,307551.205,81962.0,5.14,207.011,G,6a01616,6a01616,6aSU12,2023-05-07,2023,5
1123,307551.156,81961.923,5.203,207.094,G,6a01616,6a01616,6aSU12,2022-04-20,2022,4
1546,307599.463,81955.468,3.978,207.105,G,6a01615,6a01615,6aSU12,2023-02-24,2023,2
562,307599.443,81955.441,3.951,207.134,G,6a01615,6a01615,6aSU12,2019-02-19,2019,2
618,307599.459,81955.281,4.014,207.29,G,6a01615,6a01615,6aSU12,2019-10-01,2019,10
395,307599.412,81955.199,4.071,207.378,G,6a01615,6a01615,6aSU12,2018-02-01,2018,2
1594,307689.074,81944.433,1.007,207.702,G,6a01613,6a01613,6aSU12,2023-05-07,2023,5
1058,307647.909,81949.449,3.762,207.713,G,6a01614,6a01614,6aSU12,2022-04-20,2022,4
1646,307599.322,81954.85,4.169,207.737,G,6a01615,6a01615,6aSU12,2023-05-07,2023,5
935,307647.898,81949.374,3.793,207.789,G,6a01614,6a01614,6aSU12,2021-06-24,2021,6
128,307599.369,81954.644,4.268,207.933,G,6a01615,6a01615,6aSU12,2017-05-10,2017,5
820,307599.413,81954.613,4.262,207.957,G,6a01615,6a01615,6aSU12,2021-03-01,2021,3
448,307599.3,81954.535,4.284,208.052,G,6a01615,6a01615,6aSU12,2018-10-25,2018,10
1860,307688.962,81943.974,-0.2,208.174,G,6a01613,6a01613,6aSU12,2021-06-24,2021,6
370,307599.275,81954.343,4.314,208.245,G,6a01615,6a01615,6aSU12,2017-10-20,2017,10
1271,307599.279,81954.16,4.434,208.425,G,6a01615,6a01615,6aSU12,2021-10-06,2021,10
16,307599.259,81954.118,4.36,208.47,G,6a01615,6a01615,6aSU12,2016-09-16,2016,9
751,307599.224,81954.09,4.423,208.503,G,6a01615,6a01615,6aSU12,2020-10-18,2020,10
507,307599.191,81953.949,4.49,208.648,G,6a01615,6a01615,6aSU12,2020-02-11,2020,2
681,307599.191,81953.949,4.49,208.648,G,6a01615,6a01615,6aSU12,2020-02-11,2020,2
57,307688.912,81943.418,1.251,208.73,G,6a01613,6a01613,6aSU12,2017-05-10,2017,5
275,307550.988,81960.227,5.553,208.797,G,6a01616,6a01616,6aSU12,2017-05-10,2017,5
1494,307599.239,81953.726,4.466,208.86,G,6a01615,6a01615,6aSU12,2022-11-23,2022,11
1418,307599.187,81953.48,4.57,209.111,G,6a01615,6a01615,6aSU12,2022-04-20,2022,4
1547,307599.073,81953.483,4.567,209.126,G,6a01615,6a01615,6aSU12,2023-02-24,2023,2
1018,307550.923,81959.857,5.673,209.172,G,6a01616,6a01616,6aSU12,2021-06-24,2021,6
1229,307599.137,81953.387,4.624,209.211,G,6a01615,6a01615,6aSU12,2021-06-24,2021,6
1355,307688.775,81942.77,0.957,209.392,G,6a01613,6a01613,6aSU12,2022-04-20,2022,4
396,307599.055,81953.081,4.689,209.526,G,6a01615,6a01615,6aSU12,2018-02-01,2018,2
563,307599.049,81953.05,4.735,209.558,G,6a01615,6a01615,6aSU12,2019-02-19,2019,2
212,307647.512,81947.467,4.004,209.734,G,6a01614,6a01614,6aSU12,2017-05-10,2017,5
1861,307688.653,81942.426,-0.373,209.752,G,6a01613,6a01613,6aSU12,2021-06-24,2021,6
1754,307647.481,81947.315,4.017,209.889,G,6a01614,6a01614,6aSU12,2023-05-07,2023,5
619,307599.014,81952.682,4.819,209.927,G,6a01615,6a01615,6aSU12,2019-10-01,2019,10
1806,307550.84,81958.998,5.828,210.035,G,6a01616,6a01616,6aSU12,2023-05-07,2023,5
1124,307550.75,81958.948,5.841,210.097,G,6a01616,6a01616,6aSU12,2022-04-20,2022,4
752,307599.017,81952.504,4.839,210.102,G,6a01615,6a01615,6aSU12,2020-10-18,2020,10
371,307598.988,81952.491,4.838,210.119,G,6a01615,6a01615,6aSU12,2017-10-20,2017,10
1059,307647.436,81946.906,4.045,210.3,G,6a01614,6a01614,6aSU12,2022-04-20,2022,4
936,307647.373,81946.896,4.055,210.321,G,6a01614,6a01614,6aSU12,2021-06-24,2021,6
937,307647.35,81946.788,4.118,210.431,FB,6a01614,6a01614,6aSU12,2021-06-24,2021,6
821,307598.922,81952.088,4.904,210.528,G,6a01615,6a01615,6aSU12,2021-03-01,2021,3
938,307647.323,81946.675,4.217,210.547,FB,6a01614,6a01614,6aSU12,2021-06-24,2021,6
1647,307598.879,81951.913,4.933,210.707,G,6a01615,6a01615,6aSU12,2023-05-07,2023,5
449,307598.893,81951.865,4.979,210.752,G,6a01615,6a01615,6aSU12,2018-10-25,2018,10
276,307550.691,81958.253,6.225,210.793,G,6a01616,6a01616,6aSU12,2017-05-10,2017,5
129,307598.863,81951.703,5.089,210.917,G,6a01615,6a01615,6aSU12,2017-05-10,2017,5
1419,307598.878,81951.672,4.944,210.945,G,6a01615,6a01615,6aSU12,2022-04-20,2022,4
1125,307550.618,81958.055,5.889,210.999,G,6a01616,6a01616,6aSU12,2022-04-20,2022,4
939,307647.265,81946.182,4.414,211.043,FB,6a01614,6a01614,6aSU12,2021-06-24,2021,6
1595,307688.512,81941.038,0.769,211.143,G,6a01613,6a01613,6aSU12,2023-05-07,2023,5
822,307598.837,81951.472,4.995,211.149,G,6a01615,6a01615,6aSU12,2021-03-01,2021,3
1272,307598.864,81951.437,5.012,211.18,G,6a01615,6a01615,6aSU12,2021-10-06,2021,10
1495,307598.876,81951.408,4.94,211.206,G,6a01615,6a01615,6aSU12,2022-11-23,2022,11
1807,307550.649,81957.803,5.925,211.245,G,6a01616,6a01616,6aSU12,2023-05-07,2023,5
940,307647.23,81945.922,4.391,211.305,FB,6a01614,6a01614,6aSU12,2021-06-24,2021,6
58,307688.447,81940.849,0.825,211.341,G,6a01613,6a01613,6aSU12,2017-05-10,2017,5
1019,307550.617,81957.71,6.003,211.341,G,6a01616,6a01616,6aSU12,2021-06-24,2021,6
1126,307550.627,81957.688,6.064,211.362,G,6a01616,6a01616,6aSU12,2022-04-20,2022,4
1808,307550.587,81957.674,6.08,211.381,SD,6a01616,6a01616,6aSU12,2023-05-07,2023,5
1020,307550.594,81957.65,6.06,211.404,SD,6a01616,6a01616,6aSU12,2021-06-24,2021,6
213,307647.232,81945.807,4.361,211.418,G,6a01614,6a01614,6aSU12,2017-05-10,2017,5
564,307598.833,81951.197,5.041,211.422,G,6a01615,6a01615,6aSU12,2019-02-19,2019,2
753,307598.781,81951.2,5.044,211.427,G,6a01615,6a01615,6aSU12,2020-10-18,2020,10
397,307598.848,81951.188,5.07,211.428,G,6a01615,6a01615,6aSU12,2018-02-01,2018,2
17,307598.804,81951.194,4.99,211.429,G,6a01615,6a01615,6aSU12,2016-09-16,2016,9
1230,307598.78,81951.184,5.036,211.443,G,6a01615,6a01615,6aSU12,2021-06-24,2021,6
620,307598.799,81951.158,5.042,211.465,G,6a01615,6a01615,6aSU12,2019-10-01,2019,10
1648,307598.828,81951.133,5.018,211.486,G,6a01615,6a01615,6aSU12,2023-05-07,2023,5
1060,307647.279,81945.726,4.254,211.489,G,6a01614,6a01614,6aSU12,2022-04-20,2022,4
277,307550.602,81957.56,6.167,211.492,G,6a01616,6a01616,6aSU12,2017-05-10,2017,5
372,307598.812,81951.127,5.075,211.494,G,6a01615,6a01615,6aSU12,2017-10-20,2017,10
1755,307647.283,81945.708,4.265,211.506,G,6a01614,6a01614,6aSU12,2023-05-07,2023,5
1420,307598.749,81951.118,5.121,211.513,G,6a01615,6a01615,6aSU12,2022-04-20,2022,4
1548,307598.781,81951.103,5.097,211.523,G,6a01615,6a01615,6aSU12,2023-02-24,2023,2
565,307598.825,81951.093,5.109,211.526,SD,6a01615,6a01615,6aSU12,2019-02-19,2019,2
18,307598.799,81951.093,5.075,211.53,SD,6a01615,6a01615,6aSU12,2016-09-16,2016,9
754,307598.752,81951.1,5.101,211.53,SD,6a01615,6a01615,6aSU12,2020-10-18,2020,10
1273,307598.755,81951.084,5.123,211.545,FB,6a01615,6a01615,6aSU12,2021-10-06,2021,10
1231,307598.757,81951.083,5.109,211.546,SD,6a01615,6a01615,6aSU12,2021-06-24,2021,6
1649,307598.702,81951.078,5.117,211.56,SD,6a01615,6a01615,6aSU12,2023-05-07,2023,5
682,307598.79,81951.056,5.17,211.568,G,6a01615,6a01615,6aSU12,2020-02-11,2020,2
508,307598.79,81951.056,5.17,211.568,G,6a01615,6a01615,6aSU12,2020-02-11,2020,2
621,307598.804,81951.045,5.125,211.576,SD,6a01615,6a01615,6aSU12,2019-10-01,2019,10
941,307647.176,81945.624,4.263,211.608,G,6a01614,6a01614,6aSU12,2021-06-24,2021,6
1809,307550.595,81957.422,6.091,211.629,SD,6a01616,6a01616,6aSU12,2023-05-07,2023,5
1021,307550.562,81957.399,6.081,211.657,SD,6a01616,6a01616,6aSU12,2021-06-24,2021,6
1127,307550.609,81957.39,6.083,211.659,G,6a01616,6a01616,6aSU12,2022-04-20,2022,4
450,307598.769,81950.954,5.124,211.672,G,6a01615,6a01615,6aSU12,2018-10-25,2018,10
1274,307598.724,81950.924,5.143,211.708,FB,6a01615,6a01615,6aSU12,2021-10-06,2021,10
1022,307550.557,81957.303,6.076,211.753,G,6a01616,6a01616,6aSU12,2021-06-24,2021,6
1862,307688.374,81940.425,-0.515,211.771,G,6a01613,6a01613,6aSU12,2021-06-24,2021,6
1650,307598.705,81950.846,5.145,211.788,SD,6a01615,6a01615,6aSU12,2023-05-07,2023,5
1232,307598.712,81950.843,5.125,211.79,SD,6a01615,6a01615,6aSU12,2021-06-24,2021,6
566,307598.781,81950.83,5.122,211.792,SD,6a01615,6a01615,6aSU12,2019-02-19,2019,2
755,307598.701,81950.836,5.119,211.799,SD,6a01615,6a01615,6aSU12,2020-10-18,2020,10
19,307598.76,81950.819,5.083,211.806,SD,6a01615,6a01615,6aSU12,2016-09-16,2016,9
622,307598.793,81950.812,5.137,211.808,SD,6a01615,6a01615,6aSU12,2019-10-01,2019,10
20,307598.76,81950.806,5.075,211.819,G,6a01615,6a01615,6aSU12,2016-09-16,2016,9
1233,307598.712,81950.771,5.119,211.861,G,6a01615,6a01615,6aSU12,2021-06-24,2021,6
1275,307598.699,81950.746,5.121,211.888,G,6a01615,6a01615,6aSU12,2021-10-06,2021,10
567,307598.753,81950.725,5.103,211.9,G,6a01615,6a01615,6aSU12,2019-02-19,2019,2
623,307598.763,81950.722,5.119,211.902,SD,6a01615,6a01615,6aSU12,2019-10-01,2019,10
1496,307598.759,81950.72,5.133,211.904,G,6a01615,6a01615,6aSU12,2022-11-23,2022,11
756,307598.697,81950.729,5.119,211.905,G,6a01615,6a01615,6aSU12,2020-10-18,2020,10
1421,307598.741,81950.72,5.119,211.907,G,6a01615,6a01615,6aSU12,2022-04-20,2022,4
130,307598.717,81950.702,5.13,211.929,G,6a01615,6a01615,6aSU12,2017-05-10,2017,5
509,307598.735,81950.45,5.102,212.175,SD,6a01615,6a01615,6aSU12,2020-02-11,2020,2
683,307598.735,81950.45,5.102,212.175,SD,6a01615,6a01615,6aSU12,2020-02-11,2020,2
1810,307550.391,81956.522,6.034,212.549,SD,6a01616,6a01616,6aSU12,2023-05-07,2023,5
1276,307598.623,81950.002,5.114,212.635,G,6a01615,6a01615,6aSU12,2021-10-06,2021,10
1651,307598.584,81949.994,5.114,212.649,SD,6a01615,6a01615,6aSU12,2023-05-07,2023,5
823,307598.604,81949.939,5.099,212.7,G,6a01615,6a01615,6aSU12,2021-03-01,2021,3
1863,307688.18,81939.368,-0.42,212.845,G,6a01613,6a01613,6aSU12,2021-06-24,2021,6
373,307598.584,81949.719,5.097,212.92,G,6a01615,6a01615,6aSU12,2017-10-20,2017,10
1549,307598.615,81949.551,5.107,213.081,G,6a01615,6a01615,6aSU12,2023-02-24,2023,2
1356,307688.18,81939.119,0.984,213.091,G,6a01613,6a01613,6aSU12,2022-04-20,2022,4
684,307598.591,81949.459,5.105,213.176,G,6a01615,6a01615,6aSU12,2020-02-11,2020,2
510,307598.591,81949.459,5.105,213.176,G,6a01615,6a01615,6aSU12,2020-02-11,2020,2
131,307598.507,81949.439,5.112,213.209,G,6a01615,6a01615,6aSU12,2017-05-10,2017,5
1023,307550.312,81955.787,6.031,213.288,G,6a01616,6a01616,6aSU12,2021-06-24,2021,6
1128,307550.341,81955.746,6.054,213.324,G,6a01616,6a01616,6aSU12,2022-04-20,2022,4
942,307646.849,81943.905,4.476,213.357,G,6a01614,6a01614,6aSU12,2021-06-24,2021,6
1024,307550.329,81955.715,6.056,213.357,SD,6a01616,6a01616,6aSU12,2021-06-24,2021,6
1811,307550.348,81955.696,6.059,213.373,SD,6a01616,6a01616,6aSU12,2023-05-07,2023,5
1756,307646.849,81943.888,4.48,213.374,G,6a01614,6a01614,6aSU12,2023-05-07,2023,5
1061,307646.856,81943.885,4.479,213.376,G,6a01614,6a01614,6aSU12,2022-04-20,2022,4
757,307598.49,81949.259,5.117,213.389,G,6a01615,6a01615,6aSU12,2020-10-18,2020,10
1277,307598.479,81949.258,5.138,213.392,G,6a01615,6a01615,6aSU12,2021-10-06,2021,10
21,307598.488,81949.257,5.069,213.392,G,6a01615,6a01615,6aSU12,2016-09-16,2016,9
1497,307598.48,81949.252,5.114,213.398,G,6a01615,6a01615,6aSU12,2022-11-23,2022,11
1234,307598.441,81949.255,5.109,213.401,G,6a01615,6a01615,6aSU12,2021-06-24,2021,6
278,307550.34,81955.657,6.083,213.413,G,6a01616,6a01616,6aSU12,2017-05-10,2017,5
1278,307598.501,81949.219,5.135,213.427,FB,6a01615,6a01615,6aSU12,2021-10-06,2021,10
1757,307646.853,81943.821,4.566,213.439,SD,6a01614,6a01614,6aSU12,2023-05-07,2023,5
568,307598.502,81949.198,5.122,213.448,G,6a01615,6a01615,6aSU12,2019-02-19,2019,2
22,307598.465,81949.2,5.085,213.452,SD,6a01615,6a01615,6aSU12,2016-09-16,2016,9
624,307598.508,81949.187,5.109,213.458,SD,6a01615,6a01615,6aSU12,2019-10-01,2019,10
758,307598.486,81949.188,5.125,213.46,SD,6a01615,6a01615,6aSU12,2020-10-18,2020,10
685,307598.543,81949.177,5.197,213.462,G,6a01615,6a01615,6aSU12,2020-02-11,2020,2
511,307598.543,81949.177,5.197,213.462,G,6a01615,6a01615,6aSU12,2020-02-11,2020,2
1235,307598.45,81949.189,5.123,213.465,SD,6a01615,6a01615,6aSU12,2021-06-24,2021,6
943,307646.846,81943.783,4.56,213.478,SD,6a01614,6a01614,6aSU12,2021-06-24,2021,6
1652,307598.472,81949.172,5.132,213.478,SD,6a01615,6a01615,6aSU12,2023-05-07,2023,5
1062,307646.807,81943.787,4.56,213.481,G,6a01614,6a01614,6aSU12,2022-04-20,2022,4
625,307598.493,81949.146,5.135,213.501,SD,6a01615,6a01615,6aSU12,2019-10-01,2019,10
1812,307550.303,81955.486,6.037,213.587,SD,6a01616,6a01616,6aSU12,2023-05-07,2023,5
1025,307550.267,81955.452,6.025,213.626,SD,6a01616,6a01616,6aSU12,2021-06-24,2021,6
214,307646.849,81943.622,4.592,213.636,G,6a01614,6a01614,6aSU12,2017-05-10,2017,5
1279,307598.43,81949.001,5.131,213.654,FB,6a01615,6a01615,6aSU12,2021-10-06,2021,10
1236,307598.393,81948.973,5.125,213.687,SD,6a01615,6a01615,6aSU12,2021-06-24,2021,6
1813,307550.211,81955.393,6.016,213.692,G,6a01616,6a01616,6aSU12,2023-05-07,2023,5
759,307598.442,81948.955,5.123,213.697,SD,6a01615,6a01615,6aSU12,2020-10-18,2020,10
1026,307550.268,81955.375,5.997,213.702,G,6a01616,6a01616,6aSU12,2021-06-24,2021,6
1063,307646.795,81943.564,4.565,213.703,G,6a01614,6a01614,6aSU12,2022-04-20,2022,4
23,307598.416,81948.946,5.08,213.71,G,6a01615,6a01615,6aSU12,2016-09-16,2016,9
1129,307550.251,81955.363,6.017,213.716,G,6a01616,6a01616,6aSU12,2022-04-20,2022,4
132,307598.421,81948.913,5.236,213.742,G,6a01615,6a01615,6aSU12,2017-05-10,2017,5
1280,307598.413,81948.906,5.126,213.75,G,6a01615,6a01615,6aSU12,2021-10-06,2021,10
1758,307646.764,81943.512,4.577,213.759,SD,6a01614,6a01614,6aSU12,2023-05-07,2023,5
626,307598.429,81948.884,5.133,213.769,SD,6a01615,6a01615,6aSU12,2019-10-01,2019,10
944,307646.767,81943.501,4.556,213.769,SD,6a01614,6a01614,6aSU12,2021-06-24,2021,6
1653,307598.434,81948.883,5.086,213.77,SD,6a01615,6a01615,6aSU12,2023-05-07,2023,5
1237,307598.406,81948.873,5.112,213.784,G,6a01615,6a01615,6aSU12,2021-06-24,2021,6
1759,307646.732,81943.47,4.448,213.806,G,6a01614,6a01614,6aSU12,2023-05-07,2023,5
59,307688.006,81938.406,0.425,213.823,G,6a01613,6a01613,6aSU12,2017-05-10,2017,5
1864,307688.017,81938.379,-0.286,213.848,G,6a01613,6a01613,6aSU12,2021-06-24,2021,6
1064,307646.774,81943.414,4.432,213.854,G,6a01614,6a01614,6aSU12,2022-04-20,2022,4
945,307646.749,81943.407,4.464,213.865,G,6a01614,6a01614,6aSU12,2021-06-24,2021,6
1654,307598.438,81948.785,5.078,213.866,G,6a01615,6a01615,6aSU12,2023-05-07,2023,5
760,307598.408,81948.762,5.11,213.893,G,6a01615,6a01615,6aSU12,2020-10-18,2020,10
398,307598.394,81948.527,5.184,214.127,G,6a01615,6a01615,6aSU12,2018-02-01,2018,2
451,307598.359,81948.49,5.208,214.169,G,6a01615,6a01615,6aSU12,2018-10-25,2018,10
1422,307598.37,81948.346,5.097,214.31,G,6a01615,6a01615,6aSU12,2022-04-20,2022,4
824,307598.255,81948.089,5.098,214.582,G,6a01615,6a01615,6aSU12,2021-03-01,2021,3
374,307598.296,81948.071,5.167,214.593,G,6a01615,6a01615,6aSU12,2017-10-20,2017,10
512,307598.247,81947.968,5.125,214.703,G,6a01615,6a01615,6aSU12,2020-02-11,2020,2
686,307598.247,81947.968,5.125,214.703,G,6a01615,6a01615,6aSU12,2020-02-11,2020,2
569,307598.306,81947.957,5.176,214.704,G,6a01615,6a01615,6aSU12,2019-02-19,2019,2
627,307598.237,81947.843,5.167,214.828,G,6a01615,6a01615,6aSU12,2019-10-01,2019,10
24,307598.218,81947.784,5.099,214.889,G,6a01615,6a01615,6aSU12,2016-09-16,2016,9
1596,307687.8,81937.307,0.489,214.941,G,6a01613,6a01613,6aSU12,2023-05-07,2023,5
1423,307598.25,81947.699,5.079,214.968,G,6a01615,6a01615,6aSU12,2022-04-20,2022,4
1498,307598.242,81947.642,5.083,215.025,G,6a01615,6a01615,6aSU12,2022-11-23,2022,11
1760,307646.547,81942.115,4.275,215.173,G,6a01614,6a01614,6aSU12,2023-05-07,2023,5
1550,307598.155,81947.158,5.075,215.517,G,6a01615,6a01615,6aSU12,2023-02-24,2023,2
133,307598.146,81947.117,5.123,215.559,G,6a01615,6a01615,6aSU12,2017-05-10,2017,5
452,307598.136,81947.033,5.106,215.643,G,6a01615,6a01615,6aSU12,2018-10-25,2018,10
946,307646.479,81941.643,4.285,215.649,G,6a01614,6a01614,6aSU12,2021-06-24,2021,6
1865,307687.656,81936.517,-0.131,215.744,GS,6a01613,6a01613,6aSU12,2021-06-24,2021,6
1655,307598.079,81946.935,5.018,215.749,G,6a01615,6a01615,6aSU12,2023-05-07,2023,5
1357,307687.637,81936.471,1.205,215.793,G,6a01613,6a01613,6aSU12,2022-04-20,2022,4
215,307646.486,81941.472,4.602,215.816,G,6a01614,6a01614,6aSU12,2017-05-10,2017,5
1065,307646.415,81941.43,4.31,215.87,G,6a01614,6a01614,6aSU12,2022-04-20,2022,4
1027,307550.008,81953.158,5.981,215.934,G,6a01616,6a01616,6aSU12,2021-06-24,2021,6
1066,307646.416,81941.222,4.326,216.075,G,6a01614,6a01614,6aSU12,2022-04-20,2022,4
375,307598.09,81946.593,5.058,216.085,G,6a01615,6a01615,6aSU12,2017-10-20,2017,10
1238,307598.01,81946.49,5.022,216.199,G,6a01615,6a01615,6aSU12,2021-06-24,2021,6
279,307549.936,81952.814,6.016,216.284,G,6a01616,6a01616,6aSU12,2017-05-10,2017,5
1281,307597.96,81946.337,5.035,216.358,G,6a01615,6a01615,6aSU12,2021-10-06,2021,10
1130,307549.902,81952.703,5.946,216.399,G,6a01616,6a01616,6aSU12,2022-04-20,2022,4
1067,307646.367,81940.861,4.357,216.439,G,6a01614,6a01614,6aSU12,2022-04-20,2022,4
1761,307646.325,81940.864,4.224,216.443,G,6a01614,6a01614,6aSU12,2023-05-07,2023,5
1814,307549.891,81952.63,5.951,216.473,G,6a01616,6a01616,6aSU12,2023-05-07,2023,5
761,307597.937,81946.055,4.969,216.641,G,6a01615,6a01615,6aSU12,2020-10-18,2020,10
60,307687.542,81935.543,0.263,216.723,G,6a01613,6a01613,6aSU12,2017-05-10,2017,5
280,307549.857,81952.191,5.852,216.912,G,6a01616,6a01616,6aSU12,2017-05-10,2017,5
1656,307597.889,81945.542,4.969,217.155,G,6a01615,6a01615,6aSU12,2023-05-07,2023,5
134,307597.902,81945.382,4.888,217.311,G,6a01615,6a01615,6aSU12,2017-05-10,2017,5
399,307597.829,81945.344,4.887,217.36,G,6a01615,6a01615,6aSU12,2018-02-01,2018,2
570,307597.828,81945.124,4.876,217.577,G,6a01615,6a01615,6aSU12,2019-02-19,2019,2
825,307597.787,81945.086,4.913,217.621,G,6a01615,6a01615,6aSU12,2021-03-01,2021,3
628,307597.826,81944.995,4.891,217.705,G,6a01615,6a01615,6aSU12,2019-10-01,2019,10
376,307597.793,81944.993,4.865,217.712,G,6a01615,6a01615,6aSU12,2017-10-20,2017,10
687,307597.835,81944.961,4.876,217.737,G,6a01615,6a01615,6aSU12,2020-02-11,2020,2
513,307597.835,81944.961,4.876,217.737,G,6a01615,6a01615,6aSU12,2020-02-11,2020,2
0,307597.722,81944.846,4.952,217.868,G,6a01615,6a01615,6aSU12,2016-09-16,2016,9
1866,307687.256,81934.368,-0.109,217.93,GS,6a01613,6a01613,6aSU12,2021-06-24,2021,6
1424,307597.708,81944.779,4.92,217.937,G,6a01615,6a01615,6aSU12,2022-04-20,2022,4
1597,307687.314,81934.321,0.266,217.966,G,6a01613,6a01613,6aSU12,2023-05-07,2023,5
453,307597.772,81944.726,4.879,217.979,G,6a01615,6a01615,6aSU12,2018-10-25,2018,10
1282,307597.654,81944.545,4.916,218.176,G,6a01615,6a01615,6aSU12,2021-10-06,2021,10
762,307597.712,81944.432,4.869,218.279,G,6a01615,6a01615,6aSU12,2020-10-18,2020,10
1551,307597.636,81944.286,4.94,218.435,G,6a01615,6a01615,6aSU12,2023-02-24,2023,2
216,307645.988,81938.873,4.217,218.462,G,6a01614,6a01614,6aSU12,2017-05-10,2017,5
135,307597.678,81944.212,4.831,218.501,G,6a01615,6a01615,6aSU12,2017-05-10,2017,5
1499,307597.718,81944.174,4.899,218.533,G,6a01615,6a01615,6aSU12,2022-11-23,2022,11
947,307645.987,81938.791,4.224,218.543,G,6a01614,6a01614,6aSU12,2021-06-24,2021,6
1068,307645.846,81938.309,4.178,219.043,G,6a01614,6a01614,6aSU12,2022-04-20,2022,4
1028,307549.565,81950.074,5.776,219.049,G,6a01616,6a01616,6aSU12,2021-06-24,2021,6
1131,307549.535,81950.06,5.755,219.067,G,6a01616,6a01616,6aSU12,2022-04-20,2022,4
1358,307687.145,81933.112,1.385,219.186,G,6a01613,6a01613,6aSU12,2022-04-20,2022,4
1239,307597.505,81943.322,4.956,219.407,G,6a01615,6a01615,6aSU12,2021-06-24,2021,6
1815,307549.492,81949.598,5.776,219.531,G,6a01616,6a01616,6aSU12,2023-05-07,2023,5
1867,307686.987,81932.771,-0.09,219.549,G,6a01613,6a01613,6aSU12,2021-06-24,2021,6
61,307686.919,81932.496,0.265,219.832,G,6a01613,6a01613,6aSU12,2017-05-10,2017,5
377,307597.486,81942.806,4.99,219.92,G,6a01615,6a01615,6aSU12,2017-10-20,2017,10
136,307597.443,81942.777,5.023,219.955,G,6a01615,6a01615,6aSU12,2017-05-10,2017,5
629,307597.47,81942.735,5.011,219.993,G,6a01615,6a01615,6aSU12,2019-10-01,2019,10
571,307597.418,81942.712,5.002,220.024,G,6a01615,6a01615,6aSU12,2019-02-19,2019,2
